baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Phel_contig_1	289.910685571811	4.65144286092273	0.992657898376078	4.68584682450236	2.78804728905573e-06	4.18821877766089e-05
Phel_contig_10	52790.4882655214	7.9165547950961	0.741809120992867	10.6719566679097	1.37695783405031e-26	5.4379856489668e-24
Phel_contig_10001	273.859818609576	4.71956209053665	0.799081674592002	5.90623241728873	3.50020078363443e-09	1.09949417313271e-07
Phel_contig_10002	157.961131116163	1.43173070860578	0.337675515076804	4.23996009387927	2.23559526845008e-05	0.000253213639877883
Phel_contig_10005	64.9754727243084	-1.67405576002257	0.598646554989204	-2.79640089142877	0.00516752573669276	0.0229442345012943
Phel_contig_10010	8.48289362002497	2.70571951849893	0.901949716808487	2.99985627588311	0.00270107026493472	0.0135625879343046
Phel_contig_10012	444.544136916739	1.54894151832379	0.353931275459906	4.37639063208262	1.20660690620468e-05	0.000149318974541678
Phel_contig_10023	18.6880138496638	4.34001075696491	0.791133402097963	5.48581408073009	4.1156958807597e-08	1.01038479955587e-06
Phel_contig_10025	351.892174048575	-1.42909856575634	0.29159644343681	-4.90094648930804	9.53760342923524e-07	1.63768788634707e-05
Phel_contig_10031	310.994702490243	0.862426268537842	0.25815586969952	3.34071919240752	0.000835616914169338	0.00521423423657304
Phel_contig_10034	607.62370045555	-0.951726781714096	0.22295070699329	-4.26877669305951	1.96547912423894e-05	0.000226179502261449
Phel_contig_10035	92.0515035575177	1.57396495170078	0.338655396204102	4.64768897629546	3.35674528266675e-06	4.92045771665783e-05
Phel_contig_1004	456.200573724375	1.33793638898548	0.412409883560923	3.24419089434317	0.00117784779938717	0.00689354650629305
Phel_contig_10040	405.106170786442	-1.05503915704654	0.246175121480102	-4.28572615584884	1.82143244780178e-05	0.000211930120421001
Phel_contig_10043	736.670207585626	0.840714590247041	0.319414330015067	2.63205032224879	0.00848712909951893	0.0341919379009301
Phel_contig_10045	33.8363501168932	6.24578407744557	0.932888667042606	6.69510124637447	2.15522361018319e-11	1.04130927974276e-09
Phel_contig_10049	390.977242536783	0.816678622486873	0.280037968608762	2.91631390751818	0.00354193944753548	0.0168384246241001
Phel_contig_10050	368.928095701455	-1.2940919870834	0.356801808735888	-3.62692103963328	0.000286820956006753	0.00214603817989677
Phel_contig_10051	14.1554338143627	2.76522105846528	0.746567665983259	3.70391216290271	0.000212299795162355	0.00167514413063156
Phel_contig_10056	239.180152555817	2.00194542286362	0.364005354553836	5.49976915948784	3.80288784472317e-08	9.43795025215905e-07
Phel_contig_10058	412.884960545882	1.56486452962294	0.556001007369324	2.81449945032829	0.00488532612045403	0.0218847832948171
