contig	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.58	PSC.63	PSC.61	PSC.52	PSC.54	PSC.59	PSC.69	PSC.67	PSC.78	PSC.71
80	Phel_contig_1079	116.129968407491	2.7914765168764	0.391826381154884	7.12426893934169	1.04634560249085e-12	5.11928344624622e-11	36	19	24	50	29	306	114	176	177	169
81	Phel_contig_10794	7.25330099162921	4.61901099194767	1.07347203819641	4.30287033811172	1.68599527429705e-05	0.000150186757013586	2	0	1	0	0	12	12	23	17	3
82	Phel_contig_10795	1677.97203872713	2.41313438108359	0.873280504171418	2.7632981264974	0.00572204759290923	0.020649821999746	398	348	197	1661	291	1967	112	1328	8644	547
83	Phel_contig_10804	83.6762089771102	3.24096020219821	0.520846207367482	6.22248977981242	4.8932666666232e-10	1.35014417731457e-08	13	12	25	26	9	43	193	153	214	96
84	Phel_contig_10807	181.306136947466	2.04551653503227	0.784528939063797	2.60731814109145	0.0091254530274964	0.0301827385154311	50	18	46	255	13	394	67	128	548	173
85	Phel_contig_1082	2069.00039591743	2.40515610963116	0.472199031958168	5.09352189829189	3.51472433062999e-07	5.01697362698855e-06	1232	507	559	560	637	4517	4656	2449	993	3242
86	Phel_contig_10824	133.819315509579	4.53439394625735	0.945222533131266	4.79717081144493	1.6092236849325e-06	1.90236978290976e-05	6	3	2	43	7	41	331	15	111	657
87	Phel_contig_10842	27.1065424825323	7.14520736493376	1.43859144583522	4.96680790478731	6.80639485932349e-07	8.95807261436774e-06	1	1	0	0	0	198	3	14	20	2
88	Phel_contig_10849	112.245576627576	2.47380765127321	0.515239225811267	4.80127973055252	1.57654859190316e-06	1.86780460465319e-05	80	31	19	20	32	221	71	365	83	217
89	Phel_contig_10878	474.144988081289	4.89534188998313	0.659086862029552	7.42746088870398	1.10702100489607e-13	6.64163727838089e-12	31	36	38	29	31	54	2046	1106	460	586
90	Phel_contig_10886	55.9504796427629	2.06822011010368	0.446540390024087	4.63165293959662	3.62757880253265e-06	3.91697801729171e-05	23	17	18	29	30	48	80	58	58	177
91	Phel_contig_10887	214.006212153082	6.26524694137167	0.891387820495284	7.02864319807566	2.08551519682702e-12	9.63947823458586e-11	18	0	2	4	5	160	123	422	60	1317
92	Phel_contig_10909	78.669320433695	2.7403248183207	0.672743362399201	4.07335838817925	4.63400323254786e-05	0.000359426198214001	14	14	18	48	17	83	15	84	325	119
93	Phel_contig_10913	11.9329621644705	3.03716667942321	0.836950593681101	3.62884822874079	0.000284688541584779	0.0017053703291142	2	4	2	4	2	36	16	27	0	23
94	Phel_contig_10922	62.7805674440136	2.91603672727091	0.39052169212932	7.4670288131018	8.20258125582158e-14	5.00965737911728e-12	10	13	14	20	23	88	159	98	71	94
95	Phel_contig_10946	37.6559464534012	2.27803426946122	0.409219128145845	5.5667834487183	2.59484536424119e-08	4.78769228169362e-07	13	15	18	10	13	25	62	107	43	70
96	Phel_contig_10957	6.38619387373809	2.8562067738344	1.12668505162522	2.53505340264732	0.0112430185036459	0.03584734360536	3	0	4	0	1	32	6	4	1	7
97	Phel_contig_10961	17.877286539513	2.8435798076867	1.02719877635664	2.76828582075667	0.00563520111579982	0.0203987075020255	14	0	0	8	1	72	10	7	20	31
98	Phel_contig_1097	975.91208381327	6.12224055628832	0.694400325068138	8.81658653556589	1.18002006819441e-18	1.51993295798046e-16	70	33	9	27	6	2243	3612	959	508	1193
99	Phel_contig_10970	46.7735101180135	4.37891887754539	0.740815947383546	5.91094035301359	3.40160201197093e-09	7.63408253355457e-08	9	1	1	10	2	35	22	168	162	56
100	Phel_contig_11035	15.2662209684974	2.16228929671664	0.717224946741384	3.01479934090512	0.00257149319922508	0.0107851916926758	6	6	14	1	2	16	25	65	13	9
101	Phel_contig_11038	50.0574823051068	3.99445300802399	0.646596076627624	6.17766354051728	6.50571724159304e-10	1.72499886040991e-08	8	5	5	5	9	197	17	72	33	122
102	Phel_contig_11062	2.78294176689147	5.01508887107917	1.5452138284813	3.24556302735667	0.00117218613504954	0.00563055404354481	0	0	0	0	0	8	6	0	6	4
103	Phel_contig_11069	6.09281295797905	2.32813183929151	0.7651554704384	3.04269122974131	0.00234472785427936	0.00999921757784475	0	2	3	2	4	16	10	10	7	4
104	Phel_contig_11079	39.8958658805585	2.77328930071432	0.562199700563479	4.93292560976949	8.10070131996267e-07	1.04193497621366e-05	11	4	14	8	18	36	113	35	36	94
105	Phel_contig_11093	321.514496956528	2.21658402004431	0.836953291137021	2.64839632452252	0.00808746511449337	0.0273298274043204	332	91	56	29	89	308	158	225	46	1784
106	Phel_contig_11096	35.5141631729698	2.26036944451164	0.511370528974363	4.42021844521463	9.86011777328023e-06	9.44583295178746e-05	7	12	14	23	10	33	98	40	31	65
107	Phel_contig_11176	85.5093465532844	4.64354100930782	1.40434174189694	3.3065605548657	0.000944489337001067	0.00470283914271355	0	8	2	26	0	28	174	13	59	475
108	Phel_contig_11201	11.7160908514019	2.06965432670335	0.56548833432883	3.65994168413711	0.000252272654045363	0.00153659036119338	3	8	7	3	3	12	16	23	27	11
109	Phel_contig_11223	318.680758015353	3.45601116850161	0.503598317049991	6.86263446777671	6.76020524475142e-12	2.76700087563033e-10	48	50	47	110	31	183	685	349	496	971
110	Phel_contig_11229	76.101511567405	4.04988789155656	0.550627248124045	7.35504446130172	1.90863577161927e-13	1.08520717575457e-11	4	15	4	20	4	75	214	120	99	152
111	Phel_contig_11239	7.44010640034951	5.85245220574405	1.39241589728401	4.20309206262268	2.63293439736329e-05	0.000220585360824721	0	0	1	0	0	4	17	39	15	0
112	Phel_contig_11249	365.456826752373	3.6868233004386	0.512634870874263	7.19190891979506	6.38916485084446e-13	3.25264225530392e-11	78	79	35	45	45	371	1041	509	172	1038
113	Phel_contig_11252	78.8844076367367	2.5555398161683	0.385504034820393	6.62908707909874	3.37769291459166e-11	1.20471047287102e-09	25	31	20	17	31	99	160	106	71	189
114	Phel_contig_11260	263.161504853904	3.85558786576436	0.651808216629042	5.9152182611387	3.31435781302056e-09	7.46293427027943e-08	68	14	13	32	58	48	726	942	272	443
115	Phel_contig_1128	3028.4786333553	2.49210078039641	0.618595143628567	4.02864588586681	5.60990443988867e-05	0.000422343442845691	2167	1489	261	560	336	4363	7481	2040	4276	4672
116	Phel_contig_11280	57.8551141578794	6.71456036577031	0.966734958465658	6.94560624602553	3.76838489362815e-12	1.63867463422441e-10	0	0	0	5	1	32	209	65	32	183
117	Phel_contig_1131	3614.41843185808	7.02348742827484	0.507905634174985	13.8283313979838	1.71963265864681e-43	1.79754524602704e-40	76	57	47	38	80	13579	2905	8340	1646	7816
118	Phel_contig_11314	94.3442568597349	2.28038588534452	0.89429709918669	2.54991980564221	0.0107747700624513	0.0345938217078914	14	6	110	5	31	50	376	72	20	175
119	Phel_contig_11321	64.1240977951262	2.35169211934417	0.636346862062484	3.69561360249664	0.000219356369373089	0.00136735490982151	30	15	19	23	26	269	70	67	60	16
120	Phel_contig_11334	155.463627834612	4.10212644828456	0.691746862735452	5.93009765460021	3.0275456698981e-09	6.87407153019971e-08	10	2	8	59	15	339	130	253	490	141
121	Phel_contig_11340	58.0426993547118	2.55755029177923	0.665156097487453	3.84503773090267	0.000120533890587729	0.000818078885743829	22	11	4	27	29	47	76	141	11	216
122	Phel_contig_11346	58.6920150730045	2.86922276780127	0.484484867014743	5.92221339229975	3.17637078142359e-09	7.1760103987972e-08	15	7	26	13	14	29	114	142	82	130
123	Phel_contig_11359	5.15939145451602	4.12331611614632	1.35506203009584	3.04289842425493	0.00234311409483776	0.00999547243282069	1	0	0	2	0	3	13	0	9	18
124	Phel_contig_11376	68.8203848265967	2.34195611297505	0.525835584413484	4.45378019744948	8.43714759781702e-06	8.22175680937508e-05	20	30	33	18	20	43	63	305	143	41
125	Phel_contig_11380	8.1631760315797	4.81110086581143	1.05459650657031	4.56202996675742	5.06614143222488e-06	5.26328715003852e-05	0	0	2	1	0	9	4	23	21	20
126	Phel_contig_11384	23.0139121007804	3.99778599202321	0.7036841559029	5.68122212002008	1.33735659061735e-08	2.62620501588138e-07	2	1	3	1	8	10	35	111	38	30
127	Phel_contig_11398	18.2080418808535	2.73782343961556	0.610365475629106	4.48554767419254	7.27268821590955e-06	7.22167045421957e-05	2	2	4	10	8	15	55	27	20	28
128	Phel_contig_11416	214.141734070909	2.45930158880692	0.406524329005638	6.04958034079385	1.452236292339e-09	3.55575477055761e-08	87	81	82	41	59	289	282	380	147	634
129	Phel_contig_11420	37.3140156573496	5.77074762741915	1.17963486404604	4.8919778512022	9.9827680925431e-07	1.24226955686418e-05	4	2	1	0	0	5	6	57	10	284
130	Phel_contig_11421	92.9489133130116	2.45413491644004	0.670913469274691	3.65790080066979	0.000254289422657334	0.0015471407944887	12	32	26	49	38	173	49	55	380	37
131	Phel_contig_11430	95.4331565912168	3.05544290685101	0.428885569303788	7.12414481981971	1.04728883512874e-12	5.11928344624622e-11	38	27	7	20	18	163	188	190	84	178
132	Phel_contig_1144	594.489700334397	2.22267235674715	0.456421289752965	4.86978238449428	1.1172121905909e-06	1.37205571242112e-05	390	333	124	149	115	743	1197	1153	425	1120
133	Phel_contig_11448	60.3886415387858	3.21130699801931	0.588271596959116	5.45888500247018	4.79133951757917e-08	8.29420544004884e-07	7	18	5	15	20	230	41	105	31	106
134	Phel_contig_11453	95.969114874256	4.26773180546718	0.58722548577539	7.26762020526399	3.65875721934151e-13	1.96129593110974e-11	13	7	11	18	1	129	124	137	337	105
135	Phel_contig_11457	9.60144417528293	4.25447862477059	0.998080070120322	4.26266263813653	2.02005374593016e-05	0.000175739502902977	5	0	0	0	0	9	16	14	16	30
136	Phel_contig_1148	95.7583075261877	2.04482790277116	0.504704571585575	4.05153433888492	5.08828565030961e-05	0.000387691133737355	80	32	33	22	30	161	213	103	152	62
137	Phel_contig_11483	46.4030299173615	3.87958590889299	0.623835515205603	6.21892440287623	5.00574391523075e-10	1.37420311240547e-08	14	6	6	2	3	35	128	59	44	133
138	Phel_contig_11484	195.355974290642	4.65174948292557	0.708524791497608	6.56540115285616	5.18929678854919e-11	1.77402148577597e-09	23	5	7	30	16	63	585	304	70	735
139	Phel_contig_11493	1128.02604186586	4.54578690510655	0.758577952351302	5.99251123897861	2.06625151705477e-09	4.87047560542189e-08	108	87	105	142	50	309	257	1776	725	7565
140	Phel_contig_1151	316.48780737111	3.23699744471849	0.665575655172238	4.86345529552282	1.15354088204209e-06	1.41156839676451e-05	190	29	16	30	55	540	999	604	234	254
141	Phel_contig_11511	39.0795750596592	2.12866782566541	0.40836326995977	5.21268189931752	1.8612990938961e-07	2.83715012753271e-06	8	25	14	15	17	50	62	98	26	74
142	Phel_contig_11512	31.2839838364626	2.07269366747537	0.49784133755214	4.16336192102227	3.13595697631409e-05	0.00025655941812843	24	14	5	4	18	29	46	89	36	49
143	Phel_contig_11545	159.24610220484	3.87854641046412	0.792709113718631	4.89277383512055	9.94246380265956e-07	1.23782080269666e-05	17	29	28	18	16	18	102	165	83	1070
144	Phel_contig_11557	284.901611397416	2.00199130598812	0.506114151573301	3.95561218702294	7.63389134152577e-05	0.000548727582332683	93	125	101	174	124	211	891	318	130	518
145	Phel_contig_11566	77.8419493757851	2.19204835364525	0.383651299235545	5.71364767436752	1.10579825629658e-08	2.21469307366458e-07	26	15	26	38	48	140	82	233	61	118
146	Phel_contig_11569	343.427974470446	2.01163856612677	0.481528754133139	4.17760839588527	2.94590283083873e-05	0.000243428845048753	90	199	84	259	110	264	299	354	936	678
147	Phel_contig_11575	17.8831240045152	4.55567966951835	0.746401427798568	6.10352485920994	1.03754422124215e-09	2.63536232195506e-08	2	0	0	3	3	10	22	54	43	39
148	Phel_contig_116	10268.7203224755	3.06143275781754	0.636932193433752	4.80652852749224	1.53573578186128e-06	1.83062399471166e-05	6336	1413	855	1208	1753	37981	12521	13030	5110	15546
149	Phel_contig_1161	2300.38663439372	4.62988117682515	0.632540348953977	7.31950330833681	2.48890444269655e-13	1.38613616687719e-11	569	97	98	76	87	6578	3573	3917	1431	5152
150	Phel_contig_11616	6.28492217015732	5.01218264011735	1.25971718408508	3.97881580361043	6.92593711643172e-05	0.000506003007931133	2	0	0	0	0	3	9	36	13	3
151	Phel_contig_11622	456.951221458047	3.07708950962849	0.76580047044122	4.01813478627874	5.86606410224117e-05	0.000438591169658076	88	98	71	175	93	585	103	323	2504	98
152	Phel_contig_11627	19.1835124104754	4.44283072288461	0.865718145698323	5.13195980119009	2.86740748361776e-07	4.18755510960578e-06	4	0	0	5	0	28	30	11	50	45
153	Phel_contig_11631	328.562852267684	4.20061208786094	0.838583153029715	5.00917776929403	5.46630650408648e-07	7.43559950791102e-06	77	2	19	38	46	56	1004	509	95	1253
154	Phel_contig_11632	22.0444998560518	5.87204692073617	0.862570464950328	6.8076141710629	9.92305559007099e-12	3.95438130244794e-10	1	1	0	2	0	19	26	71	58	38
155	Phel_contig_11635	13.4281301743014	5.57636278892167	1.23769476742096	4.50544264685016	6.62347273371658e-06	6.6597388811302e-05	1	0	0	1	1	1	46	9	8	55
156	Phel_contig_11649	112.875916196934	2.58209322421352	1.03238541601998	2.50109424653433	0.0123810225171363	0.0386771758587047	25	0	1	135	17	137	74	99	455	104
157	Phel_contig_11662	80.294783326113	6.93537213280911	0.99948568162221	6.93894095766603	3.95050182482333e-12	1.71238817535962e-10	3	1	0	2	1	7	396	187	106	31
158	Phel_contig_11674	17.5137758475955	3.14791658958502	0.683699225978068	4.6042418507667	4.13971161420573e-06	4.40693624171106e-05	5	5	2	6	1	53	24	43	5	26
159	Phel_contig_11688	117.891984588062	3.6161491123026	0.562892399197189	6.42422800069789	1.32540421599559e-10	4.17886726013089e-09	17	6	9	48	17	115	94	274	380	176
160	Phel_contig_11696	26.3712597278312	3.46951638801269	0.829267695006472	4.18383160094716	2.8663647502793e-05	0.000237651193359032	6	3	1	6	8	13	89	27	3	89
161	Phel_contig_11707	34.6331619782756	4.08368096139025	0.723013354787938	5.64814043108236	1.6219266556262e-08	3.14413142985798e-07	5	0	1	12	3	32	23	105	44	123
